order,id,parent,beginLine,beginColumn,endLine,endColumn,fullPath,CCid
4,185,ExpressionFunctionCase.java,185,25,191,2,/src/smallsql/database/ExpressionFunctionCase.java,80
4,82,TestJoins.java,82,8,82,86,/src/smallsql/junit/TestJoins.java,81
4,75,TestJoins.java,75,8,75,100,/src/smallsql/junit/TestJoins.java,1
4,190,ExpressionValue.java,190,7,190,78,/src/smallsql/database/ExpressionValue.java,70
4,167,MutableNumeric.java,167,2,172,3,/src/smallsql/database/MutableNumeric.java,62
3,Table.java,database,0,0,0,0,/src/smallsql/database/Table.java,-1
4,189,SSConnection.java,189,68,193,13,/src/smallsql/database/SSConnection.java,24
4,618,BenchTest.java,618,12,618,90,/src/smallsql/junit/BenchTest.java,19
3,ExpressionFunctionConvert.java,database,0,0,0,0,/src/smallsql/database/ExpressionFunctionConvert.java,-1
3,TestAlterTable.java,junit,0,0,0,0,/src/smallsql/junit/TestAlterTable.java,-1
4,249,IndexNode.java,249,2,249,78,/src/smallsql/database/IndexNode.java,58
3,SQLTokenizer.java,database,0,0,0,0,/src/smallsql/database/SQLTokenizer.java,-1
3,ForeignKeys.java,database,0,0,0,0,/src/smallsql/database/ForeignKeys.java,-1
4,102,BasicTestCase.java,102,48,109,2,/src/smallsql/junit/BasicTestCase.java,56
4,370,Table.java,370,41,376,7,/src/smallsql/database/Table.java,15
4,81,TestOperatoren.java,81,8,81,86,/src/smallsql/junit/TestOperatoren.java,81
4,62,IndexDescriptions.java,62,36,67,2,/src/smallsql/database/IndexDescriptions.java,30
4,624,BenchTest.java,624,12,624,88,/src/smallsql/junit/BenchTest.java,17
3,Expressions.java,database,0,0,0,0,/src/smallsql/database/Expressions.java,-1
3,StoreImpl.java,database,0,0,0,0,/src/smallsql/database/StoreImpl.java,-1
4,186,TableResult.java,186,13,186,118,/src/smallsql/database/TableResult.java,53
4,235,MutableNumeric.java,235,2,240,3,/src/smallsql/database/MutableNumeric.java,62
3,TestExceptionMethods.java,junit,0,0,0,0,/src/smallsql/junit/TestExceptionMethods.java,-1
3,TableViewMap.java,database,0,0,0,0,/src/smallsql/database/TableViewMap.java,-1
4,173,TestScrollable.java,173,8,178,9,/src/smallsql/junit/TestScrollable.java,38
4,322,BenchTest.java,322,16,328,17,/src/smallsql/junit/BenchTest.java,46
4,1145,StoreImpl.java,1145,10,1145,126,/src/smallsql/database/StoreImpl.java,51
4,72,TestOperatoren.java,72,8,72,73,/src/smallsql/junit/TestOperatoren.java,61
3,ExpressionFunctionReturnString.java,database,0,0,0,0,/src/smallsql/database/ExpressionFunctionReturnString.java,-1
4,80,TestJoins.java,80,8,80,86,/src/smallsql/junit/TestJoins.java,82
3,Strings.java,database,0,0,0,0,/src/smallsql/database/Strings.java,-1
4,56,ForeignKeys.java,56,30,60,2,/src/smallsql/database/ForeignKeys.java,30
4,241,TestOrderBy.java,241,3,244,4,/src/smallsql/junit/TestOrderBy.java,86
4,59,TestThreads.java,59,8,63,9,/src/smallsql/junit/TestThreads.java,8
4,565,StoreImpl.java,565,8,565,112,/src/smallsql/database/StoreImpl.java,12
4,89,IndexScrollStatus.java,89,5,99,6,/src/smallsql/database/IndexScrollStatus.java,37
3,ExpressionFunctionRound.java,database,0,0,0,0,/src/smallsql/database/ExpressionFunctionRound.java,-1
3,TestJoins.java,junit,0,0,0,0,/src/smallsql/junit/TestJoins.java,-1
4,117,SSCallableStatement.java,117,51,125,5,/src/smallsql/database/SSCallableStatement.java,27
4,633,BenchTest.java,633,12,633,67,/src/smallsql/junit/BenchTest.java,2
4,598,StoreImpl.java,598,8,598,112,/src/smallsql/database/StoreImpl.java,12
4,118,Where.java,118,39,125,2,/src/smallsql/database/Where.java,74
4,180,ExpressionValue.java,180,7,181,20,/src/smallsql/database/ExpressionValue.java,29
4,241,TestLanguage.java,241,4,244,5,/src/smallsql/junit/TestLanguage.java,33
4,182,TestDBMetaData.java,182,8,182,310,/src/smallsql/junit/TestDBMetaData.java,78
4,1932,SQLParser.java,1932,8,1937,9,/src/smallsql/database/SQLParser.java,77
3,ExpressionFunctionReturnP1StringAndBinary.java,database,0,0,0,0,/src/smallsql/database/ExpressionFunctionReturnP1StringAndBinary.java,-1
4,476,Utils.java,476,24,476,113,/src/smallsql/database/Utils.java,26
4,678,SSDatabaseMetaData.java,678,11,678,166,/src/smallsql/database/SSDatabaseMetaData.java,22
3,IndexNode.java,database,0,0,0,0,/src/smallsql/database/IndexNode.java,-1
4,488,BenchTest.java,488,16,491,17,/src/smallsql/junit/BenchTest.java,45
4,664,SSDatabaseMetaData.java,664,2,664,118,/src/smallsql/database/SSDatabaseMetaData.java,21
4,502,MutableNumeric.java,502,16,502,51,/src/smallsql/database/MutableNumeric.java,90
4,204,TestTransactions.java,204,3,205,62,/src/smallsql/junit/TestTransactions.java,14
4,190,SSResultSet.java,190,71,199,5,/src/smallsql/database/SSResultSet.java,32
4,167,ExpressionValue.java,167,7,167,89,/src/smallsql/database/ExpressionValue.java,34
3,TableView.java,database,0,0,0,0,/src/smallsql/database/TableView.java,-1
4,168,SSResultSet.java,168,61,177,5,/src/smallsql/database/SSResultSet.java,32
3,SSPreparedStatement.java,database,0,0,0,0,/src/smallsql/database/SSPreparedStatement.java,-1
4,474,MutableNumeric.java,474,16,475,80,/src/smallsql/database/MutableNumeric.java,36
3,TestMoneyRounding.java,junit,0,0,0,0,/src/smallsql/junit/TestMoneyRounding.java,-1
3,ExpressionFunctionPower.java,database,0,0,0,0,/src/smallsql/database/ExpressionFunctionPower.java,-1
3,TestAlterTable2.java,junit,0,0,0,0,/src/smallsql/junit/TestAlterTable2.java,-1
4,180,TableResult.java,180,14,180,119,/src/smallsql/database/TableResult.java,53
4,1239,SQLParser.java,1239,24,1243,25,/src/smallsql/database/SQLParser.java,6
4,431,TestOrderBy.java,431,2,435,3,/src/smallsql/junit/TestOrderBy.java,84
4,50,ExpressionFunctionTruncate.java,50,2,60,3,/src/smallsql/database/ExpressionFunctionTruncate.java,40
4,263,TestDBMetaData.java,263,8,263,146,/src/smallsql/junit/TestDBMetaData.java,87
4,849,SQLParser.java,849,6,853,7,/src/smallsql/database/SQLParser.java,72
4,20,TestAlterTable2.java,20,4,26,5,/src/smallsql/junit/TestAlterTable2.java,48
4,82,TestExceptionMethods.java,82,12,87,13,/src/smallsql/junit/TestExceptionMethods.java,88
4,170,ExpressionValue.java,170,7,170,93,/src/smallsql/database/ExpressionValue.java,89
3,BasicTestCase.java,junit,0,0,0,0,/src/smallsql/junit/BasicTestCase.java,-1
4,50,ExpressionFunctionRound.java,50,2,60,3,/src/smallsql/database/ExpressionFunctionRound.java,40
4,112,SQLTokenizer.java,112,29,115,30,/src/smallsql/database/SQLTokenizer.java,59
3,TestOrderBy.java,junit,0,0,0,0,/src/smallsql/junit/TestOrderBy.java,-1
3,DataSources.java,database,0,0,0,0,/src/smallsql/database/DataSources.java,-1
